"Date",High (kg),Low (kg),Close (kg),,High (troy oz),Low (troy oz),Close (troy oz),
"08:00:00 11-Oct-2024",85076.58,84768.34,84894.13,,2646.18,2636.59,2640.50,
"04:00:00 11-Oct-2024",85104.07,84822.03,85056.09,,2647.03,2638.26,2645.54,
"00:00:00 11-Oct-2024",85068.46,84621.81,85051.99,,2645.92,2632.03,2645.41,
"20:00:00 10-Oct-2024",84716.74,84500.76,84659.75,,2634.99,2628.27,2633.21,
"16:00:00 10-Oct-2024",84601.07,84129.34,84534.68,,2631.39,2616.71,2629.32,
"12:00:00 10-Oct-2024",84544.41,83914.65,84349.09,,2629.63,2610.04,2623.55,
"08:00:00 10-Oct-2024",84200.47,83960.87,84006.77,,2618.93,2611.47,2612.90,
"04:00:00 10-Oct-2024",84138.34,83929.04,84132.88,,2616.99,2610.48,2616.83,
"00:00:00 10-Oct-2024",84133.12,83786.77,83974.54,,2616.83,2606.06,2611.90,
"20:00:00 09-Oct-2024",83898.98,83817.32,83860.32,,2609.55,2607.01,2608.35,
"16:00:00 09-Oct-2024",84102.25,83763.79,83898.98,,2615.87,2605.35,2609.55,
"12:00:00 09-Oct-2024",84312.36,83778.25,84079.99,,2622.41,2605.79,2615.18,
"08:00:00 09-Oct-2024",84314.37,83932.34,84204.81,,2622.47,2610.59,2619.06,
"04:00:00 09-Oct-2024",84373.93,83893.43,83971.32,,2624.32,2609.38,2611.80,
"00:00:00 09-Oct-2024",84366.29,84083.45,84146.54,,2624.08,2615.29,2617.25,
"20:00:00 08-Oct-2024",84356.49,84208.59,84301.03,,2623.78,2619.18,2622.06,
"16:00:00 08-Oct-2024",84350.70,83776.33,84327.55,,2623.60,2605.74,2622.88,
"12:00:00 08-Oct-2024",85291.75,83754.30,84011.99,,2652.87,2605.05,2613.06,
"08:00:00 08-Oct-2024",85259.12,84518.61,85226.57,,2651.86,2628.82,2650.84,
"04:00:00 08-Oct-2024",85082.45,84603.08,84683.22,,2646.36,2631.45,2633.94,
"00:00:00 08-Oct-2024",85138.71,84685.15,84976.19,,2648.11,2634.00,2643.05,
"20:00:00 07-Oct-2024",85165.88,84913.50,84978.76,,2648.95,2641.11,2643.13,
"16:00:00 07-Oct-2024",85160.82,84877.97,84978.60,,2648.80,2640.00,2643.13,
"12:00:00 07-Oct-2024",85496.15,84810.53,85062.11,,2659.23,2637.90,2645.73,
"08:00:00 07-Oct-2024",85507.40,85225.28,85427.59,,2659.58,2650.80,2657.10,
"04:00:00 07-Oct-2024",85288.29,84877.97,85269.73,,2652.76,2640.00,2652.19,
"00:00:00 07-Oct-2024",85262.82,85013.00,85118.94,,2651.97,2644.20,2647.49,
"20:00:00 06-Oct-2024",85308.47,85194.17,85208.32,,2653.39,2649.83,2650.28,
"16:00:00 06-Oct-2024",85308.47,85308.47,85308.47,,2653.39,2653.39,2653.39,
"12:00:00 06-Oct-2024",85308.47,85308.47,85308.47,,2653.39,2653.39,2653.39,
"08:00:00 06-Oct-2024",85308.47,85308.47,85308.47,,2653.39,2653.39,2653.39,
"04:00:00 06-Oct-2024",85308.47,85308.47,85308.47,,2653.39,2653.39,2653.39,
"00:00:00 06-Oct-2024",85308.47,85308.47,85308.47,,2653.39,2653.39,2653.39,
"20:00:00 05-Oct-2024",85308.47,85308.47,85308.47,,2653.39,2653.39,2653.39,
"16:00:00 05-Oct-2024",85308.47,85308.47,85308.47,,2653.39,2653.39,2653.39,
